County,FIPS,Count of cases(2020),Count of cases(2021),Count of cases (2022),Average,Households,,,,
Adair,19001,5,10,9,8,3217,,,,
Adams,19003,1,NA,3,1.333333333,1614,,,,
Allamakee,19005,14,13,3,10,5797,,,,
Appanoose,19007,23,21,12,18.66666667,5320,,,,
Audubon,19009,4,3,1,2.666666667,2498,,,,
Benton,19011,47,48,27,40.66666667,10282,,,,
Black Hawk,19013,869,840,458,722.3333333,54223,,,,
Boone,19015,63,55,31,49.66666667,10981,,,,
Bremer,19017,6,13,6,8.333333333,9646,,,,
Buchanan,19019,34,34,19,29,8198,,,,
Buena Vista,19021,4,8,NA,4,7447,,,,
Butler,19023,8,9,3,6.666666667,5992,,,,
Calhoun,19025,3,1,NA,1.333333333,4070,,,,
Carroll,19027,26,20,6,17.33333333,8746,,,,
Cass,19029,9,6,8,7.666666667,5818,,,,
Cedar,19031,16,14,9,13,7594,,,,
Cerro Gordo,19033,26,107,64,65.66666667,19224,,,,
Cherokee,19035,15,8,7,10,5008,,,,
Chickasaw,19037,5,10,8,7.666666667,5022,,,,
Clarke,19039,4,7,1,4,3871,,,,
Clay,19041,36,26,14,25.33333333,7222,,,,
Clayton,19043,14,13,4,10.33333333,7315,,,,
Clinton,19045,174,176,94,148,19483,,,,
Crawford,19047,5,13,16,11.33333333,6255,,,,
Dallas,19049,284,292,175,250.33,38291,,,,
Davis,19051,9,2,1,4,3258,,,,
Decatur,19053,2,1,NA,1,2986,,,,
Delaware,19055,12,9,2,7.666666667,7141,,,,
Des Moines,19057,120,138,65,107.6666667,16751,,,,
Dickinson,19059,26,23,4,17.66666667,7976,,,,
Dubuque,19061,405,338,164,302.3333333,39891,,,,
Emmet,19063,1,3,2,2,3972,,,,
Fayette,19065,27,40,15,27.33333333,8174,,,,
Floyd,19067,19,36,16,23.66666667,6674,,,,
Franklin,19069,24,28,8,20,4141,,,,
Fremont,19071,4,4,5,4.333333333,2720,,,,
Greene,19073,4,1,1,2,3802,,,,
Grundy,19075,11,8,8,9,5069,,,,
Guthrie,19077,11,8,4,7.666666667,4529,,,,
Hamilton,19079,31,28,8,22.333,6283,,,,
Hancock,19081,4,9,4,5.666666667,4585,,,,
Hardin,19083,12,24,18,18,7070,,,,
Harrison,19085,2,1,13,5.333333333,5951,,,,
Henry,19087,41,66,26,44.33333333,7746,,,,
Howard,19089,10,13,3,8.666666667,3945,,,,
Humboldt,19091,11,25,3,13,4073,,,,
Ida,19093,4,1,NA,1.666666667,2940,,,,
Iowa,19095,10,22,13,15,6811,,,,
Jackson,19097,18,25,14,19,8305,,,,
Jasper,19099,83,135,53,90.33333333,14994,,,,
Jefferson,19101,66,55,25,48.66666667,6902,,,,
Johnson,19103,496,537,335,456,61335,,,,
Jones,19105,50,44,6,33.33333333,8113,,,,
Keokuk,19107,14,17,7,12.66666667,4174,,,,
Kossuth,19109,9,9,5,7.666666667,6438,,,,
Lee,19111,77,91,32,66.66666667,14036,,,,
Linn,19113,1210,1245,717,1057.333333,94751,,,,
Lyon,19119,7,3,1,3.666666667,4466,,,,
Madison,19121,19,14,11,14.66666667,6436,,,,
Mahaska,19123,37,52,22,37,8799,,,,
Marion,19125,40,75,43,52.66,13145,,,,
Marshall,19127,113,164,70,115.6666667,15358,,,,
Mills,19129,17,15,1,11,5512,,,,
Mitchell,19131,12,5,3,6.666666667,4382,,,,
Monona,19133,5,NA,NA,1.666666667,3839,,,,
Monroe,19135,14,5,6,8.333333333,3116,,,,
Montgomery,19137,19,17,9,15,4456,,,,
Muscatine,19139,81,126,68,91.66666667,16908,,,,
Obrien,19141,25,30,22,25.66666667,5861,,,,
Osceola,19143,4,8,2,4.666666667,2599,,,,
Page,19145,17,20,10,15.66666667,6212,,,,
Palo Alto,19147,NA,3,1,1.333333333,3831,,,,
Plymouth,19149,23,26,15,21.33333333,10171,,,,
Pocahontas,19151,6,4,4,4.666666667,3090,,,,
Polk,19153,4710,4838,2448,3998.666667,196891,,,,
Pottawattamie,19155,563,561,283,469,37284,,,,
Poweshiek,19157,40,45,32,39,7536,,,,
Ringgold,19159,4,2,1,2.333333333,1945,,,,
Sac,19161,1,7,2,3.333333333,4273,,,,
Scott,19163,1142,1059,486,895.6666667,71628,,,,
Shelby,19165,7,14,10,10.33333333,4981,,,,
Sioux,19167,12,7,6,8.333333333,12202,,,,
Story,19169,123,364,195,227.33,38273,,,,
Tama,19171,23,27,12,20.66666667,6784,,,,
Taylor,19173,7,3,NA,3.333333333,2506,,,,
Union,19175,30,23,9,20.66666667,5169,,,,
Van Buren,19177,6,10,2,6,2984,,,,
Wapello,19179,161,113,54,109.3333333,14167,,,,
Warren,19181,12,NA,NA,4,19616,,,,
Washington,19183,26,22,13,20.33333333,8916,,,,
Webster,19187,160,182,104,148.6666667,15046,,,,
Winnebago,19189,12,8,4,8,4512,,,,
Winneshiek,19191,6,13,6,8.333333333,8170,,,,
Woodbury,19193,518,552,300,456.6666667,39904,,,,
Worth,19195,8,12,2,7.333333333,3127,,,,
Wright,19197,11,18,5,11.33333333,5404,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,