Total,TotalM,GEO_ID,NAME
3690,38,0500000US19001,"Adair County, Iowa"
2010,33,0500000US19003,"Adams County, Iowa"
7716,83,0500000US19005,"Allamakee County, Iowa"
6619,49,0500000US19007,"Appanoose County, Iowa"
3006,57,0500000US19009,"Audubon County, Iowa"
11132,46,0500000US19011,"Benton County, Iowa"
57300,235,0500000US19013,"Black Hawk County, Iowa"
11873,107,0500000US19015,"Boone County, Iowa"
10232,123,0500000US19017,"Bremer County, Iowa"
9074,74,0500000US19019,"Buchanan County, Iowa"
8290,78,0500000US19021,"Buena Vista County, Iowa"
6758,53,0500000US19023,"Butler County, Iowa"
5047,175,0500000US19025,"Calhoun County, Iowa"
9452,75,0500000US19027,"Carroll County, Iowa"
6565,70,0500000US19029,"Cass County, Iowa"
8177,54,0500000US19031,"Cedar County, Iowa"
22325,118,0500000US19033,"Cerro Gordo County, Iowa"
5776,78,0500000US19035,"Cherokee County, Iowa"
5702,56,0500000US19037,"Chickasaw County, Iowa"
4178,30,0500000US19039,"Clarke County, Iowa"
8161,63,0500000US19041,"Clay County, Iowa"
9078,61,0500000US19043,"Clayton County, Iowa"
21900,113,0500000US19045,"Clinton County, Iowa"
7011,88,0500000US19047,"Crawford County, Iowa"
33265,88,0500000US19049,"Dallas County, Iowa"
3605,27,0500000US19051,"Davis County, Iowa"
3861,69,0500000US19053,"Decatur County, Iowa"
8065,84,0500000US19055,"Delaware County, Iowa"
18557,87,0500000US19057,"Des Moines County, Iowa"
13442,55,0500000US19059,"Dickinson County, Iowa"
40818,174,0500000US19061,"Dubuque County, Iowa"
4798,104,0500000US19063,"Emmet County, Iowa"
9582,77,0500000US19065,"Fayette County, Iowa"
7542,57,0500000US19067,"Floyd County, Iowa"
4856,39,0500000US19069,"Franklin County, Iowa"
3457,41,0500000US19071,"Fremont County, Iowa"
4544,51,0500000US19073,"Greene County, Iowa"
5564,51,0500000US19075,"Grundy County, Iowa"
5782,58,0500000US19077,"Guthrie County, Iowa"
7189,40,0500000US19079,"Hamilton County, Iowa"
5337,40,0500000US19081,"Hancock County, Iowa"
8199,80,0500000US19083,"Hardin County, Iowa"
6775,92,0500000US19085,"Harrison County, Iowa"
8328,100,0500000US19087,"Henry County, Iowa"
4366,62,0500000US19089,"Howard County, Iowa"
4723,48,0500000US19091,"Humboldt County, Iowa"
3428,55,0500000US19093,"Ida County, Iowa"
7293,83,0500000US19095,"Iowa County, Iowa"
9502,57,0500000US19097,"Jackson County, Iowa"
16227,98,0500000US19099,"Jasper County, Iowa"
7605,175,0500000US19101,"Jefferson County, Iowa"
60952,253,0500000US19103,"Johnson County, Iowa"
8956,82,0500000US19105,"Jones County, Iowa"
4892,39,0500000US19107,"Keokuk County, Iowa"
7508,73,0500000US19109,"Kossuth County, Iowa"
16246,69,0500000US19111,"Lee County, Iowa"
95706,216,0500000US19113,"Linn County, Iowa"
5032,37,0500000US19115,"Louisa County, Iowa"
4219,29,0500000US19117,"Lucas County, Iowa"
4990,30,0500000US19119,"Lyon County, Iowa"
6811,67,0500000US19121,"Madison County, Iowa"
9839,55,0500000US19123,"Mahaska County, Iowa"
14110,122,0500000US19125,"Marion County, Iowa"
16751,175,0500000US19127,"Marshall County, Iowa"
6140,95,0500000US19129,"Mills County, Iowa"
4936,34,0500000US19131,"Mitchell County, Iowa"
4742,67,0500000US19133,"Monona County, Iowa"
3956,36,0500000US19135,"Monroe County, Iowa"
5231,52,0500000US19137,"Montgomery County, Iowa"
18051,102,0500000US19139,"Muscatine County, Iowa"
6661,67,0500000US19141,"O'Brien County, Iowa"
2983,55,0500000US19143,"Osceola County, Iowa"
7206,239,0500000US19145,"Page County, Iowa"
4617,54,0500000US19147,"Palo Alto County, Iowa"
10734,67,0500000US19149,"Plymouth County, Iowa"
3758,57,0500000US19151,"Pocahontas County, Iowa"
193987,244,0500000US19153,"Polk County, Iowa"
39846,195,0500000US19155,"Pottawattamie County, Iowa"
9065,105,0500000US19157,"Poweshiek County, Iowa"
2613,60,0500000US19159,"Ringgold County, Iowa"
5414,48,0500000US19161,"Sac County, Iowa"
73504,215,0500000US19163,"Scott County, Iowa"
5571,54,0500000US19165,"Shelby County, Iowa"
12713,106,0500000US19167,"Sioux County, Iowa"
38783,188,0500000US19169,"Story County, Iowa"
7771,55,0500000US19171,"Tama County, Iowa"
3104,31,0500000US19173,"Taylor County, Iowa"
5938,48,0500000US19175,"Union County, Iowa"
3648,48,0500000US19177,"Van Buren County, Iowa"
16076,99,0500000US19179,"Wapello County, Iowa"
19426,91,0500000US19181,"Warren County, Iowa"
9629,68,0500000US19183,"Washington County, Iowa"
3189,56,0500000US19185,"Wayne County, Iowa"
17031,152,0500000US19187,"Webster County, Iowa"
5188,98,0500000US19189,"Winnebago County, Iowa"
8870,129,0500000US19191,"Winneshiek County, Iowa"
41915,146,0500000US19193,"Woodbury County, Iowa"
3539,41,0500000US19195,"Worth County, Iowa"
6504,67,0500000US19197,"Wright County, Iowa"